Production Order,Audio ID,Source ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Target Max Seconds,Estimated TTS Seconds @145wpm,Length Check,Final Asset Path,Script / Transcript,Transcript Required,Transcript Display,Playback Context,Embedded for MVP,Source Status,Production Status,Recording Priority,TTS Pass Status,Audio QA Status,Final Asset Status,Notes
95,AUD-511-EVIDENCE-CONCEPT,AUD-511-EVIDENCE-CONCEPT,Cognitive Reframing,CR-005,Evidence Concept,Short explainer,15-30 sec,30,11,OK / check in TTS,audio/cognitive/p_511_aud_511_evidence_concept_evidence_concept.m4a,"When a thought is loud, certainty can come quickly. Looking at both sides slows the process down and gives your mind more than one path forward.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
96,AUD-512-EVIDENCE-TABLE,AUD-512-EVIDENCE-TABLE,Cognitive Reframing,CR-005,Evidence For-and-Against,Exercise walkthrough,60-90 sec,90,13,OK / check in TTS,audio/cognitive/p_512_aud_512_evidence_table_evidence_for_and_against.m4a,"Choose one negative belief about tinnitus. Write the evidence that seems to support it, then the evidence that does not support it. Use both sides to create a more balanced statement.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
97,AUD-513-REFRAME,AUD-513-REFRAME,Cognitive Reframing,CR-005,Balanced Reframe Builder,Exercise walkthrough,60-90 sec,90,15,OK / check in TTS,audio/cognitive/p_513_aud_513_reframe_balanced_reframe_builder.m4a,"A useful reframe often starts small: this is difficult, and I have handled difficult moments before. Or: this feels threatening, but the evidence does not prove that today is ruined. Choose words that are realistic for you.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
98,AUD-515-ONE-IN-TWENTY,AUD-515-ONE-IN-TWENTY,Cognitive Reframing,CR-006,Practice Expectations,Short explainer,30-60 sec,60,13,OK / check in TTS,audio/cognitive/p_515_aud_515_one_in_twenty_practice_expectations.m4a,"At first, you may miss most of these thoughts. That is expected. If you catch one out of twenty, that is not failure. That is the beginning of a skill becoming visible.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
99,AUD-516-TOP-PATTERNS,AUD-516-TOP-PATTERNS,Cognitive Reframing,CR-006,Top Thought Patterns,Short explainer,30-60 sec,60,13,OK / check in TTS,audio/cognitive/p_516_aud_516_top_patterns_top_thought_patterns.m4a,"Do not try to monitor every thought. Pick one or two patterns that show up often, like catastrophizing or all-or-nothing thinking. Those are the patterns we will practice noticing first.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Great
100,AUD-519-SUCCESS,AUD-519-SUCCESS,Cognitive Reframing,CR-006,Success Recognition,Short explainer,30-60 sec,60,13,OK / check in TTS,audio/cognitive/p_519_aud_519_success_success_recognition.m4a,"Progress is easy to minimize. If you used a skill, changed the environment, took a breath, or stayed engaged, that is worth noticing. It gives your brain evidence that your responses matter.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Great
101,AUD-520-BEYOND,AUD-520-BEYOND,Cognitive Reframing,CR-006,Beyond Tinnitus,Short explainer,60-90 sec,90,19,OK / check in TTS,audio/cognitive/p_520_aud_520_beyond_beyond_tinnitus.m4a,"Many people first notice these patterns with tinnitus, then find them elsewhere. The same catastrophizing that says tinnitus will ruin the day may also appear when a work inbox is full. Once you recognize the pattern, you can use the same skill in more than one place.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
102,AUD-521-WHACK,AUD-521-WHACK,Cognitive Reframing,CR-006,Do Not Chase Every Thought,Short explainer,30-60 sec,60,11,OK / check in TTS,audio/cognitive/p_521_aud_521_whack_do_not_chase_every_thought.m4a,Cognitive reframing should not become a whack-a-mole game where you chase every uncomfortable thought. Start with the repeated patterns that create the most distress.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
103,AUD-522-MYPLAN,AUD-522-MYPLAN,Cognitive Reframing,CR-006,Save to My Plan,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/cognitive/p_522_aud_522_myplan_save_to_my_plan.m4a,Save the patterns and balanced statements that feel useful. These will stay in the app and can become part of your personal tinnitus management plan.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
104,AUD-523-BRIDGE,AUD-523-BRIDGE,Cognitive Reframing,CR-006,Bridge to Self-Compassion,Short explainer,30-60 sec,60,12,OK / check in TTS,audio/cognitive/p_523_aud_523_bridge_bridge_to_self_compassion.m4a,"After we learn to question a thought, the next step is learning not to attack ourselves for having it. The next section focuses on validation and self-compassion.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
105,AUD-700-OV,AUD-700-OV,Confidence and Communication,CC-001,Support and Communication,Loop overview,60-90 sec,90,18,OK / check in TTS,audio/confidence_and_communication/p_700_aud_700_ov_support_and_communication.m4a,"This section brings together two sides of tinnitus management. One side is internal: how you respond to yourself when tinnitus is hard. The other side is external: how you communicate your needs without withdrawing, over-apologizing, or feeling like your experience does not matter.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
106,AUD-701-S,AUD-701-S,Confidence and Communication,CC-001,Why this belongs,Short explainer,15-30 sec,30,13,OK / check in TTS,audio/confidence_and_communication/p_701_aud_701_s_why_this_belongs.m4a,"Tinnitus may be heard as a sound, but it can also affect confidence, relationships, and the way you talk to yourself. That is why support and communication belong in tinnitus management.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
107,AUD-702-S,AUD-702-S,Confidence and Communication,CC-001,Internal and external support,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/confidence_and_communication/p_702_aud_702_s_internal_and_external_support.m4a,Self-compassion is the internal side of support. Interpersonal effectiveness is the external side. One helps you respond to yourself with more patience. The other helps you communicate clearly with the people around you.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
108,AUD-710-S,AUD-710-S,Confidence and Communication,CC-002,Self-compassion basics,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/confidence_and_communication/p_710_aud_710_s_self_compassion_basics.m4a,Self-compassion is the skill of responding to yourself with the same patience and care you would probably offer to someone else who was struggling.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted
109,AUD-711-S,AUD-711-S,Confidence and Communication,CC-002,Validation basics,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/confidence_and_communication/p_711_aud_711_s_validation_basics.m4a,Validation means recognizing that your reaction makes sense. Tinnitus distress is real. You can acknowledge that without deciding that nothing can change.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
110,AUD-713-S,AUD-713-S,Confidence and Communication,CC-002,Self-critical voice,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/confidence_and_communication/p_713_aud_713_s_self_critical_voice.m4a,"The self-critical voice adds another layer to tinnitus. Instead of only dealing with the sound, you may also be dealing with thoughts like, I should be handling this better. This section helps you soften that voice.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
111,AUD-716-S,AUD-716-S,Confidence and Communication,CC-002,Slow progress counts,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/confidence_and_communication/p_716_aud_716_s_slow_progress_counts.m4a,"You will miss opportunities to practice this. That is normal. It takes time. If you catch one self-critical thought that you would have missed before, that is progress.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.  
112,AUD-714-G,AUD-714-G,Confidence and Communication,CC-003,Re-scripting exercise,Exercise walkthrough,60-90 sec,90,19,OK / check in TTS,audio/confidence_and_communication/p_714_aud_714_g_re_scripting_exercise.m4a,Start with one self-critical thought. Now imagine that someone you care about said the same thing about themselves. What would you say back? Write that response down. Then adjust it so it sounds like something you could say to yourself on a hard day.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted one word
113,AUD-730-S,AUD-730-S,Confidence and Communication,CC-004,DEAR MAN overview,Short explainer,30-45 sec,45,17,OK / check in TTS,audio/confidence_and_communication/p_730_aud_730_s_dear_man_overview.m4a,"DEAR MAN is a structured way to make a request or explain a need. You describe the situation, express how it affects you, assert what you are asking for, reinforce why it matters, stay mindful, appear confident, and negotiate when needed.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
114,AUD-731-G,AUD-731-G,Confidence and Communication,CC-005,DEAR MAN exercise,Exercise walkthrough,60-90 sec,90,15,OK / check in TTS,audio/confidence_and_communication/p_731_aud_731_g_dear_man_exercise.m4a,"Think of one situation where tinnitus, hearing difficulty, or sound sensitivity makes communication harder. Describe the situation in neutral terms. Express how it affects you. Then write one clear request that would make the situation easier.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
115,AUD-701-G,AUD-701-G,Confidence and Communication,CC-005,DEAR MAN,Exercise walkthrough,60-90 sec,90,13,OK / check in TTS,audio/confidence_and_communication/p_701_aud_701_g_dear_man.m4a,"DEAR MAN helps you make a clear request. Describe the situation, express how it affects you, assert what you need, reinforce why it helps, and stay mindful, confident, and willing to negotiate.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good. 
116,AUD-732-S,AUD-732-S,Confidence and Communication,CC-006,Waiting room example,Example,45-60 sec,60,19,OK / check in TTS,audio/confidence_and_communication/p_732_aud_732_s_waiting_room_example.m4a,"A person waiting in a shared room may feel overwhelmed by a loud television. Distress tolerance skills can help, but another option is a clear, respectful request: would it be possible to mute the TV while I wait? Sometimes the helpful action is simpler than we expect.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
117,AUD-750-OV,AUD-750-OV,Confidence and Communication,CC-006,Loop wrap-up,Wrap-up,45-60 sec,60,17,OK / check in TTS,audio/confidence_and_communication/p_750_aud_750_ov_loop_wrap_up.m4a,"Self-compassion helps you stop adding shame to tinnitus. Communication skills help you stop carrying everything alone. Together, they support the same goal as the rest of this app: staying engaged with life while you keep practicing the tools that help.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
118,AUD-800-OV,AUD-800-OV,Sleep,SL-001,Sleep,Chapter overview,60-90 sec,90,16,OK / check in TTS,audio/sleep/p_800_aud_800_ov_sleep.m4a,"Sleep and tinnitus can affect each other. Poor sleep can make the day feel harder, and tinnitus distress can make sleep feel harder. This section will talk about some of the things we can do to help sleep.  ",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Changed ending.
119,NEW-AUD-SL-SCOPE-001,NEW-AUD-SL-SCOPE-001,Sleep,SL-001,Sleep scope and professional support,Scope explainer,30-45 sec,45,19,OK / check in TTS,audio/sleep/sl_scope_001_sleep_scope.m4a,"Sleep belongs here because tinnitus and sleep can strongly affect each other. This section is educational. It can help you understand common patterns and starter tools, but persistent sleep problems, suspected sleep apnea, medication questions, or major impairment deserve direct support from a qualified clinician.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
120,AUD-801-S,AUD-801-S,Sleep,SL-002,Sleep Cycle,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/sleep/p_801_aud_801_s_sleep_cycle.m4a,"When tinnitus, stress, and poor sleep feed each other, the problem can feel bigger than any one piece. The goal is to find one helpful place to interrupt the cycle.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
121,NEW-AUD-SL-CBTI-001,NEW-AUD-SL-CBTI-001,Sleep,SL-003,CBT-I and BBTI in plain language,Short explainer,45-60 sec,60,27,OK / check in TTS,audio/sleep/sl_cbti_001_cbti_bbti_plain_language.m4a,"CBT-I is a structured treatment that looks at the thoughts, habits, and patterns that keep insomnia going. BBTI is a briefer behavioral version designed to make effective sleep tools more accessible. This app is not providing those treatments, but it can introduce the idea that sleep can often be approached with skills, structure, and professional support instead of only trying to knock yourself out.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
122,NEW-AUD-SL-SOUND-001,NEW-AUD-SL-SOUND-001,Sleep,SL-004,Sound at night / bedtime sound plan,Exercise walkthrough,45-60 sec,60,26,OK / check in TTS,audio/sleep/sl_sound_001_bedtime_sound_plan.m4a,"At night, tinnitus can stand out because the world gets quieter and there may be less to hold your attention. A bedtime sound plan uses the same sound therapy principles: comfortable sound, enough to hear, not so loud that it has to cover everything. Choose a sound source you can use consistently and safely, then let it support settling rather than forcing sleep.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
123,AUD-803-G,AUD-803-G,Sleep,SL-005,Negative Sleep Thoughts,Exercise walkthrough,60-90 sec,90,15,OK / check in TTS,audio/sleep/p_803_aud_803_g_negative_sleep_thoughts.m4a,"Thoughts that arise when we are trying to sleep can become very convincing. Write the sleep thought down, name the pattern, challenge it with evidence, and create a statement that is more balanced and less threatening.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
124,NEW-AUD-SL-STIM-001,NEW-AUD-SL-STIM-001,Sleep,SL-006,Stimulus control education,Short explainer,45-60 sec,60,27,OK / check in TTS,audio/sleep/sl_stim_001_stimulus_control_education.m4a,"When someone spends a lot of time awake, frustrated, and alert in bed, the bed can start to feel connected to struggle instead of sleep. Stimulus control is a sleep concept that tries to rebuild that connection. Here, we are introducing the idea carefully, not prescribing a rigid sleep treatment. If insomnia is persistent or severe, this is a good reason to seek sleep-focused care.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
125,AUD-802-G,AUD-802-G,Sleep,SL-007,Wind-Down,Guided practice,60-120 sec,120,15,OK / check in TTS,audio/sleep/p_802_aud_802_g_wind_down.m4a,"Let this be a transition rather than a test. You do not have to force sleep. Notice the body supported, soften the breath, and allow the next few minutes to be about settling rather than solving.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,"Not sure exactly what this is for.  We’ll see it in context.   | Context must say this is a settling/transition practice, not a sleep guarantee. | Wind-down audio approved with clear page context: settling/transition practice, not forcing sleep."
126,NEW-AUD-SL-HELP-001,NEW-AUD-SL-HELP-001,Sleep,SL-008,When to seek sleep help,Scope/help explainer,30-45 sec,45,21,OK / check in TTS,audio/sleep/sl_help_001_when_to_seek_help.m4a,"If sleep is persistently disrupted, if you snore heavily, gasp, stop breathing, feel very sleepy during the day, or if sleep problems feel unsafe or unmanageable, it is worth seeking direct help. Tinnitus tools can support sleep, but they should not replace evaluation for sleep conditions or mental health concerns.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
127,AUD-950-S,AUD-950-S,My Plan,MP-001,My Plan,Short explainer,15-30 sec,30,13,OK / check in TTS,audio/my_plan/p_950_aud_950_s_my_plan.m4a,"My Plan collects the pieces you choose to save: sounds, statements, reframes, mindfulness tools, sleep supports, and other reminders. It is here so the app becomes personal without sending your data anywhere.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
128,AUD-900-S,AUD-900-S,My Plan,MP-003,Three Lines Journal,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/my_plan/p_900_aud_900_s_three_lines_journal.m4a,"The Three Lines Journal is a quick local check-in: sound therapy, emotional regulation, and mindfulness. A few words or a checkmark can be enough. This is about routine when we get started.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted.  
