loop,section_order,section_type,section_header,education_text,audio_segment_id,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,default_state,integrated_visual_tool,linked_practice_exercise,safety_scope_note,sync_source
Distress Tolerance,15,Expanded,Exercise: Take a pause before reacting,"When tinnitus fluctuates, it is easy to react immediately with frustration or panic. The STOP exercise helps you pause, assess what is happening, and choose a response that is more likely to help. Instead of being caught in the first automatic reaction, you give yourself a few seconds of space. That space can be enough to keep the moment from becoming larger than it needs to be.",DT-514-STOP-EXERCISE-INTRO,"When tinnitus fluctuates, it is easy to react immediately with frustration or panic. The STOP exercise helps you pause, assess what is happening, and choose a response that is more likely to help. Instead of being caught in the first automatic reaction, you give yourself a few seconds of space. That space can be enough to keep the moment from becoming larger than it needs to be.",45-60 sec,20-45 sec,67,Expanded,STOP quick card,STOP Practice,,Current Education Text -> Audio Transcript
Distress Tolerance,16,Expanded,STOP steps,"Start by mentally saying “Stop.” Then take a step back, either by changing your posture, taking a breath, or briefly moving to another space. Observe what is happening in your body and mind: emotions, thoughts, physical sensations, and urges. Then proceed mindfully. Ask, what response will help me in the long term? That might mean using a skill, continuing your activity, or choosing a small supportive action.",DT-515-STOP-STEPS,"Start by mentally saying “Stop.” Then take a step back, either by changing your posture, taking a breath, or briefly moving to another space. Observe what is happening in your body and mind: emotions, thoughts, physical sensations, and urges. Then proceed mindfully. Ask, what response will help me in the long term? That might mean using a skill, continuing your activity, or choosing a small supportive action.",45-60 sec,20-45 sec,67,Expanded,STOP step-through interaction,STOP Practice,,Current Education Text -> Audio Transcript
Distress Tolerance,17,Expanded,Exercise: Use your body to calm your mind,"When tinnitus distress is high, your body may act as if there is a threat. Your heart may race, your breathing may change, and your attention may lock onto the sound. TIPP skills work through the body. They do not argue with the mind. They change the physical state enough to help you feel more in control.",DT-516-TIPP-EXERCISE-INTRO,"When tinnitus distress is high, your body may act as if there is a threat. Your heart may race, your breathing may change, and your attention may lock onto the sound. TIPP skills work through the body. They do not argue with the mind. They change the physical state enough to help you feel more in control.",30-45 sec,20-45 sec,57,Expanded,TIPP quick card,TIPP / Using Your Body to Calm Your Mind,,Current Education Text -> Audio Transcript
Distress Tolerance,18,Expanded,TIPP: Temperature,"Temperature means using a safe, noticeable temperature change to shift the body’s stress response. You might splash cool water on your face, hold a cool cloth, or briefly place your hands in cool water. The goal is not to cause pain through the cold. The goal is to create a strong enough sensation that your body and mind pause the alarm loop.",DT-517-TIPP-TEMPERATURE,"Temperature means using a safe, noticeable temperature change to shift the body’s stress response. You might splash cool water on your face, hold a cool cloth, or briefly place your hands in cool water. The goal is not to cause pain through the cold. The goal is to create a strong enough sensation that your body and mind pause the alarm loop.",30-45 sec,20-45 sec,62,Expanded,Temperature reset card,TIPP / Using Your Body to Calm Your Mind; Ice Cube Reset,Do not cause pain or unsafe exposure.,Edited Education Text -> Audio Transcript
Distress Tolerance,19,Expanded,"TIPP: Intense movement, when appropriate","Intense movement means a brief burst of safe physical activity, such as marching in place, a few squats, jumping jacks, or a short walk. This is not a workout plan and it is not appropriate for every body or every situation. The idea is to burn off some stress energy and help the nervous system reset. Choose an option that is safe for you.",DT-518-TIPP-MOVEMENT,"Intense movement means a brief burst of safe physical activity, such as marching in place, a few squats, jumping jacks, or a short walk. This is not a workout plan and it is not appropriate for every body or every situation. The idea is to burn off some stress energy and help the nervous system reset. Choose an option that is safe for you.",30-45 sec,20-45 sec,64,Expanded,Movement option card,TIPP / Using Your Body to Calm Your Mind,"Caveat for injury, medical issues, physical safety.",Current Education Text -> Audio Transcript
Distress Tolerance,20,Expanded,TIPP: Paced breathing,Paced breathing slows the rhythm of the body. One simple pattern is to breathe in for about four seconds and breathe out for six to eight seconds. The longer exhale helps signal that your body does not need to stay in full alarm mode. You do not have to make the breath perfect. A few slower breaths can be enough to create a little space.,DT-519-TIPP-BREATHING,Paced breathing slows the rhythm of the body. One simple pattern is to breathe in for about four seconds and breathe out for six to eight seconds. The longer exhale helps signal that your body does not need to stay in full alarm mode. You do not have to make the breath perfect. A few slower breaths can be enough to create a little space.,30-45 sec,20-45 sec,65,Expanded,Breathing pacer,TIPP / Using Your Body to Calm Your Mind; Deep Breath Check-In,,Current Education Text -> Audio Transcript
Distress Tolerance,21,Expanded,TIPP: Paired muscle relaxation,"Paired muscle relaxation means gently tensing and releasing a muscle group while pairing the release with a slower breath. You might raise your shoulders slightly, hold for a few seconds, and then let them drop as you exhale. The contrast between tension and release can help your body recognize that it does not need to stay braced.",DT-520-TIPP-MUSCLE,"Paired muscle relaxation means gently tensing and releasing a muscle group while pairing the release with a slower breath. You might raise your shoulders slightly, hold for a few seconds, and then let them drop as you exhale. The contrast between tension and release can help your body recognize that it does not need to stay braced.",30-45 sec,20-45 sec,57,Expanded,Muscle release card,TIPP / Using Your Body to Calm Your Mind,Do not force painful tension.,Current Education Text -> Audio Transcript
Distress Tolerance,22,Expanded,How distress tolerance connects to the bigger picture,"Distress tolerance sits between mindfulness and cognitive reframing. Mindfulness helps you notice what is happening. Distress tolerance helps when the intensity is too high to think clearly. Once the tornado slows down, cognitive reframing can help you look at the thoughts that made the moment feel even worse. This section also connects to acceptance: even if you cannot change tinnitus right now, you can change how you respond to the moment.",DT-521-BIGGER-PICTURE,"Distress tolerance sits between mindfulness and cognitive reframing. Mindfulness helps you notice what is happening. Distress tolerance helps when the intensity is too high to think clearly. Once the tornado slows down, cognitive reframing can help you look at the thoughts that made the moment feel even worse. This section also connects to acceptance: even if you cannot change tinnitus right now, you can change how you respond to the moment.",60-90 sec,20-45 sec,71,Expanded,Bridge map: mindfulness → distress tolerance → cognitive reframing,None,,Current Education Text -> Audio Transcript
Distress Tolerance,23,Collapsed,FAQ: Will these skills make tinnitus quieter?,"Distress tolerance skills do not directly change the tinnitus sound. Their job is to lower the emotional reaction that makes the sound feel unmanageable. When the body and mind are less alarmed, tinnitus may feel less dominating, even if the sound itself is still present.",DT-522-FAQ-LOUDNESS,"Distress tolerance skills do not directly change the tinnitus sound. Their job is to lower the emotional reaction that makes the sound feel unmanageable. When the body and mind are less alarmed, tinnitus may feel less dominating, even if the sound itself is still present.",30-45 sec,<20 sec,45,Collapsed,FAQ drawer,None,,Edited Education Text -> Audio Transcript
Distress Tolerance,24,Collapsed,FAQ: What if I forget the skills when I am upset?,That is common. Skills are hardest to remember when distress is highest. Practice them during smaller frustrations so they become familiar. You can also keep a short reminder in My Plan or use the Distress Tolerance section as a quick reference. The goal is not perfect use. The goal is to build a response you can find more easily over time.,DT-523-FAQ-FORGET,That is common. Skills are hardest to remember when distress is highest. Practice them during smaller frustrations so they become familiar. You can also keep a short reminder in My Plan or use the Distress Tolerance section as a quick reference. The goal is not perfect use. The goal is to build a response you can find more easily over time.,30-45 sec,20-45 sec,61,Collapsed,FAQ drawer / My Plan pointer,STOP Practice; TIPP / Using Your Body to Calm Your Mind,,Current Education Text -> Audio Transcript
Distress Tolerance,25,Collapsed,FAQ: Is this just avoidance?,"Distress tolerance is not meant to be a way of avoiding tinnitus forever. It is a temporary stabilizing step. Once you are calmer, you can return to the bigger tools: sound therapy, mindfulness, acceptance, cognitive reframing, communication, or sleep support. The purpose is to prevent a hard moment from becoming a bigger spiral.",DT-524-FAQ-AVOIDANCE,"Distress tolerance is not meant to be a way of avoiding tinnitus forever. It is a temporary stabilizing step. Once you are calmer, you can return to the bigger tools: sound therapy, mindfulness, acceptance, cognitive reframing, communication, or sleep support. The purpose is to prevent a hard moment from becoming a bigger spiral.",30-45 sec,20-45 sec,53,Collapsed,FAQ drawer,None,,Current Education Text -> Audio Transcript
Distress Tolerance,26,Expanded,Main points,"Distress tolerance helps you manage emotional overwhelm when tinnitus feels unmanageable. Skills like STOP and TIPP help you pause, settle the body, and respond more calmly. Using the word fluctuation can reduce catastrophic fear. Practicing these skills before crisis-level distress makes them more available when you need them. Distress tolerance works alongside mindfulness and cognitive reframing so you can handle difficult moments with more control.",DT-525-MAIN-POINTS,"Distress tolerance helps you manage emotional overwhelm when tinnitus feels unmanageable. Skills like STOP and TIPP help you pause, settle the body, and respond more calmly. Using the word fluctuation can reduce catastrophic fear. Practicing these skills before crisis-level distress makes them more available when you need them. Distress tolerance works alongside mindfulness and cognitive reframing so you can handle difficult moments with more control.",45-60 sec,20-45 sec,65,Expanded,Main points card,None,,Current Education Text -> Audio Transcript
Distress Tolerance,27,Expanded,Your distress tolerance plan,"Before you move on, choose one small way to bring distress tolerance into your routine. You might practice STOP once today, try paced breathing before bed, or write down which TIPP skill feels safest and most realistic for you. Then write one reminder to be patient with yourself. These skills become stronger through repetition, not perfection.",DT-526-DISTRESS-PLAN,"Before you move on, choose one small way to bring distress tolerance into your routine. You might practice STOP once today, try paced breathing before bed, or write down which TIPP skill feels safest and most realistic for you. Then write one reminder to be patient with yourself. These skills become stronger through repetition, not perfection.",45-60 sec,20-45 sec,56,Expanded,Plan card,Distress tolerance plan exercise / save to My Plan,,Current Education Text -> Audio Transcript
Distress Tolerance,28,Collapsed,Use safe options for your body and situation,"Temperature, movement, breathing, and muscle relaxation should be used safely. Do not push into pain, unsafe exercise, breath-holding that feels wrong for you, or temperature exposure that could cause harm. If you have medical concerns about cold exposure, exercise, breathing practices, or muscle tension, choose a gentler option or seek professional guidance.",DT-527-BODY-SAFETY,"Temperature, movement, breathing, and muscle relaxation should be used safely. Do not push into pain, unsafe exercise, breath-holding that feels wrong for you, or temperature exposure that could cause harm. If you have medical concerns about cold exposure, exercise, breathing practices, or muscle tension, choose a gentler option or seek professional guidance.",30-45 sec,20-45 sec,52,Collapsed,Safety card,TIPP / Using Your Body to Calm Your Mind; Ice Cube Reset,Collapsed safety/scope card near bottom.,Current Education Text -> Audio Transcript
Cognitive Reframing,1,Expanded,Cognitive Reframing: Challenging Negative Thought Patterns,"When tinnitus or sound sensitivity feels intense, the mind can jump quickly to conclusions: “This will ruin my whole day,” “I cannot handle any noise,” or “Nothing will ever get better.” Cognitive reframing helps you slow that process down. The goal is not to pretend tinnitus is easy or to force positive thinking. The goal is to notice the thought, check whether it is accurate, and build a more balanced response.",AUD-CR-01,"When tinnitus or sound sensitivity feels intense, the mind can jump quickly to conclusions: “This will ruin my whole day,” “I cannot handle any noise,” or “Nothing will ever get better.” Cognitive reframing helps you slow that process down. The goal is not to pretend tinnitus is easy or to force positive thinking. The goal is to notice the thought, check whether it is accurate, and build a more balanced response.",20-45 sec,20-45 sec,71,Expanded,Thoughts / Feelings / Behaviors cycle visual,,,Current Education Text -> Audio Transcript
Cognitive Reframing,2,Expanded,What You’ll Learn in This Section,"In this section, you will learn how to spot recurring tinnitus-related thought patterns, test distressing thoughts with evidence, and reframe them into statements that are more accurate and workable. You will also see how these skills can apply beyond tinnitus, including work stress, relationships, sleep concerns, and other moments when the mind jumps to worst-case conclusions.",AUD-CR-02,"In this section, you will learn how to spot recurring tinnitus-related thought patterns, test distressing thoughts with evidence, and reframe them into statements that are more accurate and workable. You will also see how these skills can apply beyond tinnitus, including work stress, relationships, sleep concerns, and other moments when the mind jumps to worst-case conclusions.",20-45 sec,20-45 sec,56,Expanded,,Distortion Detective; Evidence For-and-Against,,Current Education Text -> Audio Transcript
Cognitive Reframing,3,Expanded,Why Tinnitus Thoughts Can Move So Fast,"When tinnitus flares or sound sensitivity is triggered, your thoughts may move faster than your ability to evaluate them. A sound moment can become a story: “This is unbearable,” “I am powerless,” or “My day is over.” Those thoughts can increase anxiety or hopelessness, which can then lead to avoidance, checking, withdrawal, or frantic searching for relief. The sound may be real, but the story your mind adds can make the distress much larger.",AUD-CR-03,"When tinnitus flares or sound sensitivity is triggered, your thoughts may move faster than your ability to evaluate them. A sound moment can become a story: “This is unbearable,” “I am powerless,” or “My day is over.” Those thoughts can increase anxiety or hopelessness, which can then lead to avoidance, checking, withdrawal, or frantic searching for relief. The sound may be real, but the story your mind adds can make the distress much larger.",20-45 sec,20-45 sec,74,Expanded,Thoughts / Feelings / Behaviors cycle visual,,,Current Education Text -> Audio Transcript
Cognitive Reframing,4,Expanded,"The Thoughts, Feelings, and Behaviors Loop","Cognitive behavioral therapy often describes a loop between what we think, how we feel, and what we do. With tinnitus, the loop might start with noticing the sound. That leads to a thought such as, “Today is going to be terrible.” That thought creates dread, and the dread may lead you to cancel plans, check tinnitus repeatedly, or search for a quick fix. Those behaviors then reinforce the next thought. Reframing gives you an off-ramp in that loop.",AUD-CR-04,"Cognitive behavioral therapy often describes a loop between what we think, how we feel, and what we do. With tinnitus, the loop might start with noticing the sound. That leads to a thought such as, “Today is going to be terrible.” That thought creates dread, and the dread may lead you to cancel plans, check tinnitus repeatedly, or search for a quick fix. Those behaviors then reinforce the next thought. Reframing gives you an off-ramp in that loop.",20-45 sec,20-45 sec,78,Expanded,Thoughts / Feelings / Behaviors cycle visual,,,Current Education Text -> Audio Transcript
Cognitive Reframing,5,Expanded,Reality-Checking Your Mind,"Think of cognitive restructuring as reality-checking your mind. First, identify the distressing thought. Next, ask whether the thought is fully accurate or whether it is leaving out evidence. Then create a more balanced statement. For example, “This ringing is awful, so my day is ruined” might become, “This moment is difficult, and I have had difficult tinnitus moments before without the entire day being lost.”",AUD-CR-05,"Think of cognitive restructuring as reality-checking your mind. First, identify the distressing thought. Next, ask whether the thought is fully accurate or whether it is leaving out evidence. Then create a more balanced statement. For example, “This ringing is awful, so my day is ruined” might become, “This moment is difficult, and I have had difficult tinnitus moments before without the entire day being lost.”",20-45 sec,20-45 sec,65,Expanded,Balanced reframe builder,Evidence For-and-Against,,Current Education Text -> Audio Transcript
Cognitive Reframing,6,Expanded,Pause and Look Back on a Quick Reaction,"A helpful way to understand reframing is to remember a time when you reacted quickly, then later saw the situation differently. Think of a recent tinnitus moment when your reaction was immediate. How did it feel then? How does it feel now? Were your fears still fully accurate later? This kind of reflection shows that the first thought is not always the most complete thought.",AUD-CR-06,"A helpful way to understand reframing is to remember a time when you reacted quickly, then later saw the situation differently. Think of a recent tinnitus moment when your reaction was immediate. How did it feel then? How does it feel now? Were your fears still fully accurate later? This kind of reflection shows that the first thought is not always the most complete thought.",20-45 sec,20-45 sec,65,Expanded,,Recommended new mini-exercise: Looking Back on a Quick Reaction,,Current Education Text -> Audio Transcript
Cognitive Reframing,7,Expanded,"Accurate Thinking, Not Forced Positivity","Cognitive restructuring is not about telling yourself that tinnitus is wonderful or that everything is fine. That would not be honest, and for many people it would not be believable. The goal is accuracy. “I will never have a good moment again” is usually too extreme. “Some days are hard, and I have also had moments where tinnitus bothered me less” is more balanced. That balance reduces the extra distress created by the thought.",AUD-CR-07,"Cognitive restructuring is not about telling yourself that tinnitus is wonderful or that everything is fine. That would not be honest, and for many people it would not be believable. The goal is accuracy. “I will never have a good moment again” is usually too extreme. “Some days are hard, and I have also had moments where tinnitus bothered me less” is more balanced. That balance reduces the extra distress created by the thought.",20-45 sec,20-45 sec,74,Expanded,,Balanced reframe builder,,Current Education Text -> Audio Transcript
Cognitive Reframing,8,Expanded,Why Reframing Helps Even If the Sound Is Still There,"Cognitive reframing may not change the tinnitus itself. Instead, it changes the stress loop around the sound. When the mind treats tinnitus as danger, failure, or a permanent disaster, distress grows. When the mind learns to test those meanings, the emotional reaction often becomes more manageable. Tinnitus can still be unpleasant, but it does not have to control every next step.",AUD-CR-08,"Cognitive reframing may not change the tinnitus itself. Instead, it changes the stress loop around the sound. When the mind treats tinnitus as danger, failure, or a permanent disaster, distress grows. When the mind learns to test those meanings, the emotional reaction often becomes more manageable. Tinnitus can still be unpleasant, but it does not have to control every next step.",20-45 sec,20-45 sec,61,Expanded,,,,Edited Education Text -> Audio Transcript
Cognitive Reframing,9,Expanded,Using the Same Skill with Sound Sensitivity,"The same pattern can happen with sound sensitivity. A sound may feel uncomfortable, and the mind may quickly jump to “I cannot handle any noise” or “I have to avoid everything.” Sometimes caution is appropriate, especially around painful or unsafe sound. But reframing helps you separate reasonable protection from a story that makes life smaller than it needs to be.",AUD-CR-09,"The same pattern can happen with sound sensitivity. A sound may feel uncomfortable, and the mind may quickly jump to “I cannot handle any noise” or “I have to avoid everything.” Sometimes caution is appropriate, especially around painful or unsafe sound. But reframing helps you separate reasonable protection from a story that makes life smaller than it needs to be.",20-45 sec,20-45 sec,60,Expanded,Sound sensitivity caveat,Sound Sensitivity / Enjoyable Music Speaker Exercise,Do not encourage painful sound exposure; keep sound sensitivity advice tied to comfort and professional support when needed.,Edited Education Text -> Audio Transcript
Cognitive Reframing,10,Expanded,Example: A Loud Tinnitus Morning,"A common thought is, “My tinnitus is loud this morning, so today will be terrible.” That thought feels like it makes sense in the moment, but it is not guaranteed. You may have had loud tinnitus before and still had a meaningful, productive, or even good day. A more balanced statement might be, “This morning is difficult, and I can use my tools while I see how the day unfolds.”",AUD-CR-10,"A common thought is, “My tinnitus is loud this morning, so today will be terrible.” That thought feels like it makes sense in the moment, but it is not guaranteed. You may have had loud tinnitus before and still had a meaningful, productive, or even good day. A more balanced statement might be, “This morning is difficult, and I can use my tools while I see how the day unfolds.”",20-45 sec,20-45 sec,70,Expanded,Thought example card,Evidence For-and-Against,,Edited Education Text -> Audio Transcript
Cognitive Reframing,11,Collapsed term drawer,Term: Cognitive Restructuring,"Cognitive restructuring is a step-by-step way to identify and challenge negative thoughts. Rather than “think positive,” it asks you to think accurately, using real evidence from your own experience.",AUD-CR-11,"Cognitive restructuring is a step-by-step way to identify and challenge negative thoughts. Rather than “think positive,” it asks you to think accurately, using real evidence from your own experience.",20-45 sec,<20 sec,29,Collapsed term drawer,,,,Current Education Text -> Audio Transcript
Cognitive Reframing,12,Collapsed term drawer,Term: Distorted Thought,"A distorted thought is an unhelpful or exaggerated belief. Examples include “I can’t cope with any noise,” “This will never improve,” or “Everyone thinks I am overreacting.” These thoughts can feel true before they have been checked.",AUD-CR-12,"A distorted thought is an unhelpful or exaggerated belief. Examples include “I can’t cope with any noise,” “This will never improve,” or “Everyone thinks I am overreacting.” These thoughts can feel true before they have been checked.",20-45 sec,<20 sec,37,Collapsed term drawer,,,,Current Education Text -> Audio Transcript
Cognitive Reframing,13,Collapsed term drawer,Term: Reframing,"Reframing means shifting a rigid or negative view into a more balanced one. “This tinnitus ruins everything” might become, “This is unpleasant, and it does not have to decide everything I do today.”",AUD-CR-13,"Reframing means shifting a rigid or negative view into a more balanced one. “This tinnitus ruins everything” might become, “This is unpleasant, and it does not have to decide everything I do today.”",20-45 sec,<20 sec,33,Collapsed term drawer,,,,Current Education Text -> Audio Transcript
Cognitive Reframing,14,Collapsed term drawer,Term: Behavioral Experiment,"A behavioral experiment is a small real-world test of a thought. If your thought is, “I cannot sit in a coffee shop,” a small experiment might be visiting briefly, using a sound strategy, and noticing what actually happens. The goal is to gather evidence, not to force yourself into distress.",AUD-CR-14,"A behavioral experiment is a small real-world test of a thought. If your thought is, “I cannot sit in a coffee shop,” a small experiment might be visiting briefly, using a sound strategy, and noticing what actually happens. The goal is to gather evidence, not to force yourself into distress.",20-45 sec,20-45 sec,50,Collapsed term drawer,,Future / Phase 2 behavioral experiment tool,Do not frame as pushing through unsafe sound or severe distress.,Current Education Text -> Audio Transcript
Cognitive Reframing,15,Expanded,Start with Small Thought Moments,"Cognitive reframing works best when it is practiced in real life. Start with a small moment: “I will never get through this meeting,” “This sound is too much,” or “I am failing at tinnitus management.” Write the thought down, check the facts, and create a more balanced statement. Over time, the skill becomes less like a worksheet and more like a mental pause you can use in the moment.",AUD-CR-15,"Cognitive reframing works best when it is practiced in real life. Start with a small moment: “I will never get through this meeting,” “This sound is too much,” or “I am failing at tinnitus management.” Write the thought down, check the facts, and create a more balanced statement. Over time, the skill becomes less like a worksheet and more like a mental pause you can use in the moment.",20-45 sec,20-45 sec,69,Expanded,,Distortion Detective; Evidence For-and-Against,,Current Education Text -> Audio Transcript
Cognitive Reframing,16,Expanded,You Will Miss Most Thoughts at First,"At the beginning, you may miss most automatic thoughts until after the moment has passed. That is normal. The first goal is not to catch every thought. The goal is to notice one pattern that you would have missed before. If you catch one out of twenty, that is progress, because the pattern is becoming visible.",AUD-CR-16,"At the beginning, you may miss most automatic thoughts until after the moment has passed. That is normal. The first goal is not to catch every thought. The goal is to notice one pattern that you would have missed before. If you catch one out of twenty, that is progress, because the pattern is becoming visible.",20-45 sec,20-45 sec,56,Expanded,,,,Current Education Text -> Audio Transcript
Cognitive Reframing,17,Expanded,The Cognitive Distortion Library,"Cognitive distortions are common thinking shortcuts. They are not signs that you are doing something wrong; they are patterns to notice. Naming the pattern gives you a little distance from it. You do not need to pick the perfect label. If the label helps you pause and question the thought, it has done its job.",AUD-CR-17,"Cognitive distortions are common thinking shortcuts. They are not signs that you are doing something wrong; they are patterns to notice. Naming the pattern gives you a little distance from it. You do not need to pick the perfect label. If the label helps you pause and question the thought, it has done its job.",20-45 sec,20-45 sec,55,Expanded,Distortion library expandable cards,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,18,Collapsed distortion card,All-or-Nothing Thinking,"All-or-nothing thinking turns a complicated situation into two choices: perfect or ruined. With tinnitus, this might sound like, “If my tinnitus does not go away completely, my life will be ruined.” A more balanced view looks for the middle ground: life may be harder right now, and it can still contain useful, meaningful, or manageable moments.",AUD-CR-18,"All-or-nothing thinking turns a complicated situation into two choices: perfect or ruined. With tinnitus, this might sound like, “If my tinnitus does not go away completely, my life will be ruined.” A more balanced view looks for the middle ground: life may be harder right now, and it can still contain useful, meaningful, or manageable moments.",20-45 sec,20-45 sec,56,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,19,Collapsed distortion card,Overgeneralization,"Overgeneralization takes one moment and stretches it too far. “My tinnitus was loud today, so it will be like this every day” is a prediction based on limited evidence. Reframing asks what else you know from experience: tinnitus often changes, and one day does not prove the future.",AUD-CR-19,"Overgeneralization takes one moment and stretches it too far. “My tinnitus was loud today, so it will be like this every day” is a prediction based on limited evidence. Reframing asks what else you know from experience: tinnitus often changes, and one day does not prove the future.",20-45 sec,20-45 sec,48,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,20,Collapsed distortion card,Filtering,Filtering means the mind locks onto the distressing evidence and filters out everything else. You might dismiss a good day because today is harder. Reframing does not deny today’s difficulty; it asks you to include the fuller picture.,AUD-CR-20,Filtering means the mind locks onto the distressing evidence and filters out everything else. You might dismiss a good day because today is harder. Reframing does not deny today’s difficulty; it asks you to include the fuller picture.,20-45 sec,<20 sec,38,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,21,Collapsed distortion card,Mind Reading,"Mind reading happens when you assume you know what others think. With tinnitus, it may sound like, “People think I am overreacting.” Sometimes people may not understand, but that is different from knowing what they think. Reframing asks what evidence you actually have and whether communication could help.",AUD-CR-21,"Mind reading happens when you assume you know what others think. With tinnitus, it may sound like, “People think I am overreacting.” Sometimes people may not understand, but that is different from knowing what they think. Reframing asks what evidence you actually have and whether communication could help.",20-45 sec,20-45 sec,48,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,22,Collapsed distortion card,Minimizing,"Minimizing downplays progress. If you used sound therapy, practiced breathing, went to dinner, or had a quieter hour, that matters. The improvement may not be perfect, but it is still evidence that your choices can influence the experience.",AUD-CR-22,"Minimizing downplays progress. If you used sound therapy, practiced breathing, went to dinner, or had a quieter hour, that matters. The improvement may not be perfect, but it is still evidence that your choices can influence the experience.",20-45 sec,<20 sec,38,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,23,Collapsed distortion card,Catastrophizing,"Catastrophizing turns a hard moment into a disaster story. “My tinnitus will only get worse, and I will never handle it” may feel convincing when distress is high. Reframing asks whether the evidence truly proves that outcome, and what a more grounded next thought could be.",AUD-CR-23,"Catastrophizing turns a hard moment into a disaster story. “My tinnitus will only get worse, and I will never handle it” may feel convincing when distress is high. Reframing asks whether the evidence truly proves that outcome, and what a more grounded next thought could be.",20-45 sec,<20 sec,46,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,24,Collapsed distortion card,Control Fallacies,"Control fallacies make it feel like you have either total control or no control at all. Tinnitus management usually lives in the middle. You may not control every sound moment, but you can influence your sound environment, attention, routines, and response.",AUD-CR-24,"Control fallacies make it feel like you have either total control or no control at all. Tinnitus management usually lives in the middle. You may not control every sound moment, but you can influence your sound environment, attention, routines, and response.",20-45 sec,<20 sec,41,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,25,Collapsed distortion card,Heaven’s Reward Fallacy,"Heaven’s reward fallacy is the belief that suffering harder will eventually pay off by itself. Enduring tinnitus without using tools does not necessarily make it improve faster. A more useful question is, “What action actually supports me today?”",AUD-CR-25,"Heaven’s reward fallacy is the belief that suffering harder will eventually pay off by itself. Enduring tinnitus without using tools does not necessarily make it improve faster. A more useful question is, “What action actually supports me today?”",20-45 sec,<20 sec,38,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,26,Collapsed distortion card,Labeling,Labeling turns a struggle into an identity. “I am having a hard tinnitus day” is very different from “I am a failure.” Reframing helps separate the difficulty of the moment from your worth as a person.,AUD-CR-26,Labeling turns a struggle into an identity. “I am having a hard tinnitus day” is very different from “I am a failure.” Reframing helps separate the difficulty of the moment from your worth as a person.,20-45 sec,<20 sec,36,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,27,Collapsed distortion card,Personalization,"Personalization puts all the blame on you, even when the situation is more complicated. You may wish you had done something differently in the past, but self-blame usually does not guide the next useful step. Reframing helps separate responsibility, regret, and self-attack.",AUD-CR-27,"Personalization puts all the blame on you, even when the situation is more complicated. You may wish you had done something differently in the past, but self-blame usually does not guide the next useful step. Reframing helps separate responsibility, regret, and self-attack.",20-45 sec,<20 sec,42,Collapsed distortion card,Distortion library,Distortion Detective,,Current Education Text -> Audio Transcript
Cognitive Reframing,28,Expanded,Exercise: Identifying and Naming Cognitive Distortions,"When you notice a distressing tinnitus-related thought, write it down. Then choose the thinking pattern that seems closest. Ask what evidence supports the thought, what evidence contradicts it, and what a more balanced way to view the situation might be. You do not need the perfect label; you need enough distance to question the thought.",AUD-CR-28,"When you notice a distressing tinnitus-related thought, write it down. Then choose the thinking pattern that seems closest. Ask what evidence supports the thought, what evidence contradicts it, and what a more balanced way to view the situation might be. You do not need the perfect label; you need enough distance to question the thought.",20-45 sec,20-45 sec,55,Expanded,,I-021 Distortion Detective / Identifying and Naming Distortions,,Current Education Text -> Audio Transcript
Cognitive Reframing,29,Expanded,Exercise: Evidence For-and-Against,"Choose one negative belief about tinnitus or sound sensitivity. Write the evidence that seems to support it, then the evidence that does not support it. Use both sides to create a more balanced statement. This exercise works because it turns a loud thought into something testable.",AUD-CR-29,"Choose one negative belief about tinnitus or sound sensitivity. Write the evidence that seems to support it, then the evidence that does not support it. Use both sides to create a more balanced statement. This exercise works because it turns a loud thought into something testable.",20-45 sec,<20 sec,46,Expanded,Evidence table,I-022 Evidence For-and-Against,,Current Education Text -> Audio Transcript
